web-scraper-order,web-scraper-start-url,pagi,Bank NameBank,CityCity,StateSt,CertCert,Acquiring InstitutionAI,Closing DateClosing,FundFund
"1655991395-201","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Community First Bank Chicago","Chicago","IL","57948","Northbrook Bank & Trust Company","February 4, 2011","10337"
"1655991395-446","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Integrity Bank","Jupiter","FL","57604","Stonegate Bank","July 31, 2009","10095"
"1655991395-487","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Great Basin Bank of Nevada","Elko","NV","33824","Nevada State Bank","April 17, 2009","10051"
"1655991395-338","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Appalachian Community Bank","Ellijay","GA","33989","Community & Southern Bank","March 19, 2010","10199"
"1655991395-231","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Western Commercial Bank","Woodland Hills","CA","58087","First California Bank","November 5, 2010","10310"
"1655991395-172","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Summit Bank","Burlington","WA","513","Columbia State Bank","May 20, 2011","10367"
"1655991395-115","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Charter National Bank and Trust","Hoffman Estates","IL","23187","Barrington Bank & Trust Company, National Association","February 10, 2012","10424"
"1655991395-426","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","InBank","Oak Forest","IL","20203","MB Financial Bank, N.A.","September 4, 2009","10113"
"1655991395-28","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Highland Community Bank","Chicago","IL","20290","United Fidelity Bank, fsb","January 23, 2015","10511"
"1655991395-519","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Franklin Bank, SSB","Houston","TX","26870","Prosperity Bank","November 7, 2008","10021"
"1655991395-508","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","MagnetBank","Salt Lake City","UT","58001","No Acquirer","January 30, 2009","10031"
"1655991395-556","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Bank of Sierra Blanca","Sierra Blanca","TX","22002","The Security State Bank of Pecos","January 18, 2002","4651"
"1655991395-83","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Waukegan Savings Bank","Waukegan","IL","28243","First Midwest Bank","August 3, 2012","10456"
"1655991395-316","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Peotone Bank and Trust Company","Peotone","IL","10888","First Midwest Bank","April 23, 2010","10223"
"1655991395-560","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Malta National Bank","Malta","OH","6629","North Valley Bank","May 3, 2001","4648"
"1655991395-326","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Riverside National Bank of Florida","Fort Pierce","FL","24067","TD Bank, N.A.","April 16, 2010","10216"
"1655991395-360","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Marshall Bank, N.A.","Hallock","MN","16133","United Valley Bank","January 29, 2010","10182"
"1655991395-442","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First State Bank","Sarasota","FL","27364","Stearns Bank, N.A.","August 7, 2009","10098"
"1655991395-293","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First National Bank","Rosedale","MS","15814","The Jefferson Bank","June 4, 2010","10247"
"1655991395-482","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Silverton Bank, NA","Atlanta","GA","26535","No Acquirer","May 1, 2009","10059"
"1655991395-462","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First National Bank of Danville","Danville","IL","3644","First Financial Bank, N.A.","July 2, 2009","10078"
"1655991395-351","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Carson River Community Bank","Carson City","NV","58352","Heritage Bank of Nevada","February 26, 2010","10188"
"1655991395-74","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Citizens First National Bank","Princeton","IL","3731","Heartland Bank and Trust Company","November 2, 2012","10464"
"1655991395-209","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","The Bank of Asheville","Asheville","NC","34516","First Bank","January 21, 2011","10330"
"1655991395-371","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Horizon Bank","Bellingham","WA","22977","Washington Federal Savings and Loan Association","January 8, 2010","10168"
"1655991395-17","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Allied Bank","Mulberry","AR","91","Today's Bank","September 23, 2016","10522"
"1655991395-30","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Northern Star Bank","Mankato","MN","34983","BankVista","December 19, 2014","10509"
"1655991395-141","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First International Bank","Plano","TX","33513","American First National Bank","September 30, 2011","10398"
"1655991395-197","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Canyon National Bank","Palm Springs","CA","34692","Pacific Premier Bank","February 11, 2011","10340"
"1655991395-411","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","American United Bank","Lawrenceville","GA","57794","Ameris Bank","October 23, 2009","10127"
"1655991395-6","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Resolute Bank","Maumee","OH","58317","Buckeye State Bank","October 25, 2019","10533"
"1655991395-198","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Badger State Bank","Cassville","WI","13272","Royal Bank","February 11, 2011","10339"
"1655991395-306","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Access Bank","Champlin","MN","16476","PrinsBank","May 7, 2010","10233"
"1655991395-124","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Premier Community Bank of the Emerald Coast","Crestview","FL","58343","Summit Bank","December 16, 2011","10415"
"1655991395-472","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First National Bank of Anthony","Anthony","KS","4614","Bank of Kansas","June 19, 2009","10066"
"1655991395-402","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","California National Bank","Los Angeles","CA","34659","U.S. Bank N.A.","October 30, 2009","10134"
"1655991395-296","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Bank of Florida - Tampa","Tampa","FL","57814","EverBank","May 28, 2010","10243"
"1655991395-398","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Madisonville State Bank","Madisonville","TX","33782","U.S. Bank N.A.","October 30, 2009","10142"
"1655991395-31","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Frontier Bank, FSB D/B/A El Paseo Bank","Palm Desert","CA","34738","Bank of Southern California, N.A.","November 7, 2014","10508"
"1655991395-498","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Silver Falls Bank","Silverton","OR","35399","Citizens Bank","February 20, 2009","10041"
"1655991395-383","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Benchmark Bank","Aurora","IL","10440","MB Financial Bank, N.A.","December 4, 2009","10154"
"1655991395-394","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Prosperan Bank","Oakdale","MN","35074","Alerus Financial, N.A.","November 6, 2009","10143"
"1655991395-67","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Gold Canyon Bank","Gold Canyon","AZ","58066","First Scottsdale Bank, National Association","April 5, 2013","10472"
"1655991395-524","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Washington Mutual Bank (Including its subsidiary Washington Mutual Bank FSB)","Henderson","NV","32633","JP Morgan Chase Bank","September 25, 2008","10015"
"1655991395-497","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Heritage Community Bank","Glenwood","IL","20078","MB Financial Bank, N.A.","February 27, 2009","10042"
"1655991395-240","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Premier Bank","Jefferson City","MO","34016","Providence Bank","October 15, 2010","10297"
"1655991395-343","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Old Southern Bank","Orlando","FL","58182","Centennial Bank","March 12, 2010","10197"
"1655991395-283","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","USA Bank","Port Chester","NY","58072","New Century Bank","July 9, 2010","10254"
"1655991395-144","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","The First National Bank of Florida","Milton","FL","25155","CharterBank","September 9, 2011","10395"
"1655991395-562","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","National State Bank of Metropolis","Metropolis","IL","3815","Banterra Bank of Marion","December 14, 2000","4646"
"1655991395-272","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Thunder Bank","Sylvan Grove","KS","10506","The Bennington State Bank","July 23, 2010","10269"
"1655991395-335","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","State Bank of Aurora","Aurora","MN","8221","Northern State Bank","March 19, 2010","10203"
"1655991395-43","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Vantage Point Bank","Horsham","PA","58531","First Choice Bank","February 28, 2014","10496"
"1655991395-354","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","The La Coste National Bank","La Coste","TX","3287","Community National Bank","February 19, 2010","10186"
"1655991395-355","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Marco Community Bank","Marco Island","FL","57586","Mutual of Omaha Bank","February 19, 2010","10187"
"1655991395-128","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","SunFirst Bank","Saint George","UT","57087","Cache Valley Bank","November 4, 2011","10411"
"1655991395-289","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Nevada Security Bank","Reno","NV","57110","Umpqua Bank","June 18, 2010","10250"
"1655991395-106","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Fort Lee Federal Savings Bank, FSB","Fort Lee","NJ","35527","Alma Bank","April 20, 2012","10433"
"1655991395-305","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Towne Bank of Arizona","Mesa","AZ","57697","Commerce Bank of Arizona","May 7, 2010","10235"
"1655991395-307","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","The Bank of Bonifay","Bonifay","FL","14246","First Federal Bank of Florida","May 7, 2010","10234"
"1655991395-400","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Park National Bank","Chicago","IL","11677","U.S. Bank N.A.","October 30, 2009","10140"
"1655991395-431","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Guaranty Bank","Austin","TX","32618","BBVA Compass","August 21, 2009","10105"
"1655991395-389","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Pacific Coast National Bank","San Clemente","CA","57914","Sunwest Bank","November 13, 2009","10150"
"1655991395-166","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First Chicago Bank & Trust","Chicago","IL","27935","Northbrook Bank & Trust Company","July 8, 2011","10374"
"1655991395-502","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Sherman County Bank","Loup City","NE","5431","Heritage Bank","February 13, 2009","10039"
"1655991395-36","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","The Freedom State Bank","Freedom","OK","12483","Alva State Bank & Trust Company","June 27, 2014","10503"
"1655991395-358","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First Regional Bank","Los Angeles","CA","23011","First-Citizens Bank & Trust Company","January 29, 2010","10177"
"1655991395-189","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","The Bank of Commerce","Wood Dale","IL","34292","Advantage National Bank Group","March 25, 2011","10350"
"1655991395-391","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Century Bank, F.S.B.","Sarasota","FL","32267","IBERIABANK","November 13, 2009","10148"
"1655991395-159","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Southshore Community Bank","Apollo Beach","FL","58056","American Momentum Bank","July 22, 2011","10382"
"1655991395-69","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Covenant Bank","Chicago","IL","22476","Liberty Bank and Trust Company","February 15, 2013","10470"
"1655991395-479","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Westsound Bank","Bremerton","WA","34843","Kitsap Bank","May 8, 2009","10060"
"1655991395-137","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Blue Ridge Savings Bank, Inc.","Asheville","NC","32347","Bank of North Carolina","October 14, 2011","10401"
"1655991395-457","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","BankFirst","Sioux Falls","SD","34103","Alerus Financial, N.A.","July 17, 2009","10081"
"1655991395-194","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Charter Oak Bank","Napa","CA","57855","Bank of Marin","February 18, 2011","10343"
"1655991395-302","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","New Liberty Bank","Plymouth","MI","35586","Bank of Ann Arbor","May 14, 2010","10237"
"1655991395-254","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Sonoma Valley Bank","Sonoma","CA","27259","Westamerica Bank","August 20, 2010","10285"
"1655991395-336","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First Lowndes Bank","Fort Deposit","AL","24957","First Citizens Bank","March 19, 2010","10204"
"1655991395-208","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","United Western Bank","Denver","CO","31293","First-Citizens Bank & Trust Company","January 21, 2011","10331"
"1655991395-529","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First Priority Bank","Bradenton","FL","57523","SunTrust Bank","August 1, 2008","10010"
"1655991395-303","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Satilla Community Bank","Saint Marys","GA","35114","Ameris Bank","May 14, 2010","10238"
"1655991395-412","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Partners Bank","Naples","FL","57959","Stonegate Bank","October 23, 2009","10130"
"1655991395-258","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","ShoreBank","Chicago","IL","15640","Urban Partnership Bank","August 20, 2010","10284"
"1655991395-259","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Imperial Savings and Loan Association","Martinsville","VA","31623","River Community Bank, N.A.","August 20, 2010","10280"
"1655991395-300","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Midwest Bank and Trust Company","Elmwood Park","IL","18117","FirstMerit Bank, N.A.","May 14, 2010","10236"
"1655991395-483","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First Bank of Idaho","Ketchum","ID","34396","U.S. Bank, N.A.","April 24, 2009","10055"
"1655991395-90","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Glasgow Savings Bank","Glasgow","MO","1056","Regional Missouri Bank","July 13, 2012","10449"
"1655991395-138","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Piedmont Community Bank","Gray","GA","57256","State Bank and Trust Company","October 14, 2011","10404"
"1655991395-70","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","1st Regents Bank","Andover","MN","57157","First Minnesota Bank","January 18, 2013","10469"
"1655991395-379","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","SolutionsBank","Overland Park","KS","4731","Arvest Bank","December 11, 2009","10160"
"1655991395-507","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Suburban FSB","Crofton","MD","30763","Bank of Essex","January 30, 2009","10033"
"1655991395-267","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Bayside Savings Bank","Port Saint Joe","FL","57669","Centennial Bank","July 30, 2010","10271"
"1655991395-274","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Crescent Bank and Trust Company","Jasper","GA","27559","Renasant Bank","July 23, 2010","10265"
"1655991395-262","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Palos Bank and Trust Company","Palos Heights","IL","17599","First Midwest Bank","August 13, 2010","10277"
"1655991395-550","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Universal Federal Savings Bank","Chicago","IL","29355","Chicago Community Bank","June 27, 2002","6005"
"1655991395-475","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Bank of Lincolnwood","Lincolnwood","IL","17309","Republic Bank of Chicago","June 5, 2009","10064"
"1655991395-453","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Security Bank of Gwinnett County","Suwanee","GA","57346","State Bank and Trust Company","July 24, 2009","10086"
"1655991395-449","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Security Bank of Houston County","Perry","GA","27048","State Bank and Trust Company","July 24, 2009","10087"
"1655991395-221","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Earthstar Bank","Southampton","PA","35561","Polonia Bank","December 10, 2010","10317"
"1655991395-134","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Old Harbor Bank","Clearwater","FL","57537","1st United Bank","October 21, 2011","10408"
"1655991395-538","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","NetBank","Alpharetta","GA","32575","ING DIRECT","September 28, 2007","10001"
"1655991395-145","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","CreekSide Bank","Woodstock","GA","58226","Georgia Commerce Bank","September 2, 2011","10393"
"1655991395-366","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Bank of Leeton","Leeton","MO","8265","Sunflower Bank, N.A.","January 22, 2010","10174"
"1655991395-113","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Central Bank of Georgia","Ellaville","GA","5687","Ameris Bank","February 24, 2012","10426"
"1655991395-205","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","FirsTier Bank","Louisville","CO","57646","No Acquirer","January 28, 2011","10334"
"1655991395-33","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","NBRS Financial","Rising Sun","MD","4862","Howard Bank","October 17, 2014","10506"
"1655991395-541","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Reliance Bank","White Plains","NY","26778","Union State Bank","March 19, 2004","4664"
"1655991395-537","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Miami Valley Bank","Lakeview","OH","16848","The Citizens Banking Company","October 4, 2007","10002"
"1655991395-376","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Citizens State Bank","New Baltimore","MI","1006","No Acquirer","December 18, 2009","10162"
"1655991395-86","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Heartland Bank","Leawood","KS","1361","Metcalf Bank","July 20, 2012","10452"
"1655991395-98","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First Capital Bank","Kingfisher","OK","416","F & M Bank","June 8, 2012","10443"
"1655991395-304","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","1st Pacific Bank of California","San Diego","CA","35517","City National Bank","May 7, 2010","10232"
"1655991395-440","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Community First Bank","Prineville","OR","23268","Home Federal Bank","August 7, 2009","10092"
"1655991395-9","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Washington Federal Bank for Savings","Chicago","IL","30570","Royal Savings Bank","December 15, 2017","10530"
"1655991395-133","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Decatur First Bank","Decatur","GA","34392","Fidelity Bank","October 21, 2011","10407"
"1655991395-227","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Darby Bank & Trust Co.","Vidalia","GA","14580","Ameris Bank","November 12, 2010","10312"
"1655991395-514","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First Georgia Community Bank","Jackson","GA","34301","United Bank","December 5, 2008","10025"
"1655991395-415","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Jennings State Bank","Spring Grove","MN","11416","Central Bank","October 2, 2009","10124"
"1655991395-545","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First National Bank of Blanchardville","Blanchardville","WI","11639","The Park Bank","May 9, 2003","4661"
"1655991395-276","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Mainstreet Savings Bank, FSB","Hastings","MI","28136","Commercial Bank","July 16, 2010","10258"
"1655991395-471","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Community Bank of West Georgia","Villa Rica","GA","57436","No Acquirer","June 26, 2009","10068"
"1655991395-12","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Guaranty Bank, (d/b/a BestBank in Georgia & Michigan)","Milwaukee","WI","30003","First-Citizens Bank & Trust Company","May 5, 2017","10527"
"1655991395-39","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Slavie Federal Savings Bank","Bel Air","MD","32368","Bay Bank, FSB","May 30, 2014","10500"
"1655991395-378","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","RockBridge Commercial Bank","Atlanta","GA","58315","No Acquirer","December 18, 2009","10164"
"1655991395-65","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Heritage Bank of North Florida","Orange Park","FL","26680","FirstAtlantic Bank","April 19, 2013","10475"
"1655991395-32","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","The National Republic Bank of Chicago","Chicago","IL","916","State Bank of Texas","October 24, 2014","10507"
"1655991395-350","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Rainier Pacific Bank","Tacoma","WA","38129","Umpqua Bank","February 26, 2010","10189"
"1655991395-299","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Pinehurst Bank","Saint Paul","MN","57735","Coulee Bank","May 21, 2010","10240"
"1655991395-369","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","St. Stephen State Bank","St. Stephen","MN","17522","First State Bank of St. Joseph","January 15, 2010","10169"
"1655991395-520","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Freedom Bank","Bradenton","FL","57930","Fifth Third Bank","October 31, 2008","10019"
"1655991395-509","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","1st Centennial Bank","Redlands","CA","33025","First California Bank","January 23, 2009","10030"
"1655991395-286","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","High Desert State Bank","Albuquerque","NM","35279","First American Bank","June 25, 2010","10252"
"1655991395-397","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","North Houston Bank","Houston","TX","18776","U.S. Bank N.A.","October 30, 2009","10138"
"1655991395-491","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Omni National Bank","Atlanta","GA","22238","No Acquirer","March 27, 2009","10048"
"1655991395-328","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First Federal Bank of North Florida","Palatka","FL","28886","TD Bank, N.A.","April 16, 2010","10213"
"1655991395-239","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First Bank of Jacksonville","Jacksonville","FL","27573","Ameris Bank","October 22, 2010","10300"
"1655991395-429","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Mainstreet Bank","Forest Lake","MN","1909","Central Bank","August 28, 2009","10111"
"1655991395-2","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First City Bank of Florida","Fort Walton Beach","FL","16748","United Fidelity Bank, fsb","October 16, 2020","10537"
"1655991395-222","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Paramount Bank","Farmington Hills","MI","34673","Level One Bank","December 10, 2010","10318"
"1655991395-361","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Florida Community Bank","Immokalee","FL","5672","Premier American Bank, N.A.","January 29, 2010","10181"
"1655991395-427","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First Bank of Kansas City","Kansas City","MO","25231","Great American Bank","September 4, 2009","10112"
"1655991395-318","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","New Century Bank","Chicago","IL","34821","MB Financial Bank, N.A.","April 23, 2010","10222"
"1655991395-486","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","American Southern Bank","Kennesaw","GA","57943","Bank of North Georgia","April 24, 2009","10053"
"1655991395-238","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Progress Bank of Florida","Tampa","FL","32251","Bay Cities Bank","October 22, 2010","10303"
"1655991395-481","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Citizens Community Bank","Ridgewood","NJ","57563","North Jersey Community Bank","May 1, 2009","10058"
"1655991395-298","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Bank of Florida - Southeast","Fort Lauderdale","FL","57360","EverBank","May 28, 2010","10241"
"1655991395-77","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Excel Bank","Sedalia","MO","19189","Simmons First National Bank","October 19, 2012","10460"
"1655991395-470","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Neighborhood Community Bank","Newnan","GA","35285","CharterBank","June 26, 2009","10069"
"1655991395-151","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","The First National Bank of Olathe","Olathe","KS","4744","Enterprise Bank & Trust","August 12, 2011","10388"
"1655991395-15","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Seaway Bank and Trust Company","Chicago","IL","19328","State Bank of Texas","January 27, 2017","10524"
"1655991395-142","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Citizens Bank of Northern California","Nevada City","CA","33983","Tri Counties Bank","September 23, 2011","10397"
"1655991395-464","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Rock River Bank","Oregon","IL","15302","The Harvard State Bank","July 2, 2009","10075"
"1655991395-409","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Flagship National Bank","Bradenton","FL","35044","First Federal Bank of Florida","October 23, 2009","10129"
"1655991395-342","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Statewide Bank","Covington","LA","29561","Home Bank","March 12, 2010","10196"
"1655991395-334","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","McIntosh Commercial Bank","Carrollton","GA","57399","CharterBank","March 26, 2010","10207"
"1655991395-347","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Waterfield Bank","Germantown","MD","34976","No Acquirer","March 5, 2010","10190"
"1655991395-139","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Sun Security Bank","Ellington","MO","20115","Great Southern Bank","October 7, 2011","10400"
"1655991395-55","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First Community Bank of Southwest Florida (also operating as Community Bank of Cape Coral)","Fort Myers","FL","34943","C1 Bank","August 2, 2013","10484"
"1655991395-531","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First National Bank of Nevada","Reno","NV","27011","Mutual of Omaha Bank","July 25, 2008","10008"
