web-scraper-order,web-scraper-start-url,pagi,Bank NameBank,CityCity,StateSt,CertCert,Acquiring InstitutionAI,Closing DateClosing,FundFund
"1655991395-414","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Southern Colorado National Bank","Pueblo","CO","57263","Legacy Bank","October 2, 2009","10123"
"1655991395-408","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Bank of Elmwood","Racine","WI","18321","Tri City National Bank","October 23, 2009","10132"
"1655991395-443","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Mutual Bank","Harvey","IL","18659","United Central Bank","July 31, 2009","10094"
"1655991395-275","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Sterling Bank","Lantana","FL","32536","IBERIABANK","July 23, 2010","10268"
"1655991395-207","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","The First State Bank","Camargo","OK","2303","Bank 7","January 28, 2011","10335"
"1655991395-252","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","ISN Bank","Cherry Hill","NJ","57107","Customers Bank","September 17, 2010","10290"
"1655991395-64","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Chipola Community Bank","Marianna","FL","58034","First Federal Bank of Florida","April 19, 2013","10473"
"1655991395-372","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First Federal Bank of California, F.S.B.","Santa Monica","CA","28536","OneWest Bank, FSB","December 18, 2009","10167"
"1655991395-47","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","DuPage National Bank","West Chicago","IL","5732","Republic Bank of Chicago","January 17, 2014","10492"
"1655991395-192","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Valley Community Bank","St. Charles","IL","34187","First State Bank","February 25, 2011","10347"
"1655991395-317","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Lincoln Park Savings Bank","Chicago","IL","30600","Northbrook Bank & Trust Company","April 23, 2010","10221"
"1655991395-536","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Douglass National Bank","Kansas City","MO","24660","Liberty Bank and Trust Company","January 25, 2008","10003"
"1655991395-375","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","New South Federal Savings Bank","Irondale","AL","32276","Beal Bank","December 18, 2009","10163"
"1655991395-13","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First NBC Bank","New Orleans","LA","58302","Whitney Bank","April 28, 2017","10526"
"1655991395-434","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","ebank","Atlanta","GA","34682","Stearns Bank, N.A.","August 21, 2009","10107"
"1655991395-384","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","AmTrust Bank","Cleveland","OH","29776","New York Community Bank","December 4, 2009","10155"
"1655991395-218","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Appalachian Community Bank, FSB","McCaysville","GA","58495","Peoples Bank of East Tennessee","December 17, 2010","10319"
"1655991395-308","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Frontier Bank","Everett","WA","22710","Union Bank, N.A.","April 30, 2010","10228"
"1655991395-467","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Mirae Bank","Los Angeles","CA","57332","Wilshire State Bank","June 26, 2009","10072"
"1655991395-329","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Lakeside Community Bank","Sterling Heights","MI","34878","No Acquirer","April 16, 2010","10215"
"1655991395-164","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Signature Bank","Windsor","CO","57835","Points West Community Bank","July 8, 2011","10375"
"1655991395-521","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Alpha Bank & Trust","Alpharetta","GA","58241","Stearns Bank, N.A.","October 24, 2008","10018"
"1655991395-23","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","The Bank of Georgia","Peachtree City","GA","35259","Fidelity Bank","October 2, 2015","10516"
"1655991395-363","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Columbia River Bank","The Dalles","OR","22469","Columbia State Bank","January 22, 2010","10176"
"1655991395-129","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Mid City Bank, Inc.","Omaha","NE","19397","Premier Bank","November 4, 2011","10410"
"1655991395-346","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Centennial Bank","Ogden","UT","34430","No Acquirer","March 5, 2010","10193"
"1655991395-455","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Temecula Valley Bank","Temecula","CA","34341","First-Citizens Bank & Trust Company","July 17, 2009","10082"
"1655991395-250","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First Commerce Community Bank","Douglasville","GA","57448","Community & Southern Bank","September 17, 2010","10289"
"1655991395-294","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Sun West Bank","Las Vegas","NV","34785","City National Bank","May 28, 2010","10245"
"1655991395-148","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First Southern National Bank","Statesboro","GA","57239","Heritage Bank of the South","August 19, 2011","10391"
