web-scraper-order,web-scraper-start-url,pagi,position,salary,loc,company,detail,info,comp_tag,experience
"1672259519-7617","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","数据分析算法代码开发工程师","8-12K","上海·浦东新区·曹路","上海赛赛汽车","c++ matlab","","汽车生产","经验不限"
"1672259519-7618","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","数据分析算法代码开发工程师","8-12K","上海·浦东新区·曹路","上海赛赛汽车","c++ matlab","","不需要融资","经验不限"
"1672259519-7619","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","数据分析算法代码开发工程师","8-12K","上海·浦东新区·曹路","上海赛赛汽车","c++ matlab","","500-999人","经验不限"
"1672259519-7620","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","金相测试分析专员","8-12K·14薪","上海·浦东新区·康桥","SGS","五险二金带薪年假","五险一金，补充医疗保险，定期体检，加班补助，年终奖，员工旅游，餐补，免费班车，带薪年假，节日福利","其他行业","经验不限"
"1672259519-7621","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","金相测试分析专员","8-12K·14薪","上海·浦东新区·康桥","SGS","五险二金带薪年假","五险一金，补充医疗保险，定期体检，加班补助，年终奖，员工旅游，餐补，免费班车，带薪年假，节日福利","已上市","经验不限"
"1672259519-7622","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","金相测试分析专员","8-12K·14薪","上海·浦东新区·康桥","SGS","五险二金带薪年假","五险一金，补充医疗保险，定期体检，加班补助，年终奖，员工旅游，餐补，免费班车，带薪年假，节日福利","10000人以上","经验不限"
"1672259519-7623","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","FAE工程师","9-14K·14薪","上海·浦东新区·临港","聪链信息","技术支持半导体数据分析客户服务","五险一金，带薪年假，节日福利，股票期权，年终奖，零食下午茶，定期体检，员工旅游","电子/半导体/集成电路","经验不限"
"1672259519-7624","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","FAE工程师","9-14K·14薪","上海·浦东新区·临港","聪链信息","技术支持半导体数据分析客户服务","五险一金，带薪年假，节日福利，股票期权，年终奖，零食下午茶，定期体检，员工旅游","不需要融资","经验不限"
"1672259519-7625","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","FAE工程师","9-14K·14薪","上海·浦东新区·临港","聪链信息","技术支持半导体数据分析客户服务","五险一金，带薪年假，节日福利，股票期权，年终奖，零食下午茶，定期体检，员工旅游","100-499人","经验不限"
"1672259519-7626","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","数据开发工程师","10-15K","上海·黄浦区·五里桥","软技信息","SQLKettle计算机相关专业ETL开发经验","通讯补贴，零食下午茶，股票期权，年终奖，节日福利，员工旅游，五险一金，带薪年假，定期体检","计算机软件","经验不限"
"1672259519-7627","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","数据开发工程师","10-15K","上海·黄浦区·五里桥","软技信息","SQLKettle计算机相关专业ETL开发经验","通讯补贴，零食下午茶，股票期权，年终奖，节日福利，员工旅游，五险一金，带薪年假，定期体检","未融资","经验不限"
"1672259519-7628","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","数据开发工程师","10-15K","上海·黄浦区·五里桥","软技信息","SQLKettle计算机相关专业ETL开发经验","通讯补贴，零食下午茶，股票期权，年终奖，节日福利，员工旅游，五险一金，带薪年假，定期体检","100-499人","经验不限"
"1672259519-7629","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","数据管理员","8-12K","上海·浦东新区·张江","医普科诺","临床研究医药研发注册申报药品质量管理医药领域生物技术医疗卫生制药","五险一金，带薪年假，零食下午茶，定期体检，股票期权，员工旅游，年终奖，节日福利","医疗健康","经验不限"
"1672259519-7630","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","数据管理员","8-12K","上海·浦东新区·张江","医普科诺","临床研究医药研发注册申报药品质量管理医药领域生物技术医疗卫生制药","五险一金，带薪年假，零食下午茶，定期体检，股票期权，员工旅游，年终奖，节日福利","未融资","经验不限"
"1672259519-7631","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","数据管理员","8-12K","上海·浦东新区·张江","医普科诺","临床研究医药研发注册申报药品质量管理医药领域生物技术医疗卫生制药","五险一金，带薪年假，零食下午茶，定期体检，股票期权，员工旅游，年终奖，节日福利","100-499人","经验不限"
"1672259519-7632","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","采购成本分析","10-15K","上海·浦东新区·张江","施耐德电气","采购shouldcost采购成本分析","五险一金，带薪年假，补充医疗保险，免费班车，年终奖，定期体检，通讯补贴，节日福利，股票期权","其他行业","经验不限"
"1672259519-7633","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","采购成本分析","10-15K","上海·浦东新区·张江","施耐德电气","采购shouldcost采购成本分析","五险一金，带薪年假，补充医疗保险，免费班车，年终奖，定期体检，通讯补贴，节日福利，股票期权","已上市","经验不限"
"1672259519-7634","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","采购成本分析","10-15K","上海·浦东新区·张江","施耐德电气","采购shouldcost采购成本分析","五险一金，带薪年假，补充医疗保险，免费班车，年终奖，定期体检，通讯补贴，节日福利，股票期权","10000人以上","经验不限"
"1672259519-7635","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","需求分析","14-18K","上海·浦东新区·张江","量投科技","需求确认需求调研","","计算机软件","经验不限"
"1672259519-7636","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","需求分析","14-18K","上海·浦东新区·张江","量投科技","需求确认需求调研","","100-499人","经验不限"
"1672259519-7637","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","数据工程师 90M0107769","18-23K·14薪","上海","某大型新能源公司","OASAP熟练掌握SQL语句计算机相关专业Python","","新能源","经验不限"
"1672259519-7638","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","数据工程师 90M0107769","18-23K·14薪","上海","某大型新能源公司","OASAP熟练掌握SQL语句计算机相关专业Python","","100-499人","经验不限"
"1672259519-7639","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","数据安全专家","12-20K·13薪","上海·浦东新区·陆家嘴","安永","数据安全IT服务信息安全云计算信息安全认证","带薪年假，加班补助，定期体检，补充医疗保险，年终奖，五险一金","企业服务","经验不限"
"1672259519-7640","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","数据安全专家","12-20K·13薪","上海·浦东新区·陆家嘴","安永","数据安全IT服务信息安全云计算信息安全认证","带薪年假，加班补助，定期体检，补充医疗保险，年终奖，五险一金","不需要融资","经验不限"
"1672259519-7641","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","数据安全专家","12-20K·13薪","上海·浦东新区·陆家嘴","安永","数据安全IT服务信息安全云计算信息安全认证","带薪年假，加班补助，定期体检，补充医疗保险，年终奖，五险一金","10000人以上","经验不限"
"1672259519-7642","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","运营分析","10-15K·16薪","上海·浦东新区·唐镇","中国平安综合金融","业务数据分析业务模式/运营策略优化数据分析/商业分析经验管理咨询工作经验统计/数学相关专业金融/经济相关专业","节日福利，聚餐，实物奖励，带薪年假，年终奖，零食下午茶，五险一金，员工旅游，全勤奖，补充医疗保险，定期体检","互联网金融","经验不限"
"1672259519-7643","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","运营分析","10-15K·16薪","上海·浦东新区·唐镇","中国平安综合金融","业务数据分析业务模式/运营策略优化数据分析/商业分析经验管理咨询工作经验统计/数学相关专业金融/经济相关专业","节日福利，聚餐，实物奖励，带薪年假，年终奖，零食下午茶，五险一金，员工旅游，全勤奖，补充医疗保险，定期体检","已上市","经验不限"
"1672259519-7644","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","运营分析","10-15K·16薪","上海·浦东新区·唐镇","中国平安综合金融","业务数据分析业务模式/运营策略优化数据分析/商业分析经验管理咨询工作经验统计/数学相关专业金融/经济相关专业","节日福利，聚餐，实物奖励，带薪年假，年终奖，零食下午茶，五险一金，员工旅游，全勤奖，补充医疗保险，定期体检","10000人以上","经验不限"
"1672259519-7645","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","数据处理工程师","10-15K","上海·徐汇区·漕河泾","眼控科技","PythonJava人工智能物联网","定期体检，节日福利，零食下午茶，带薪年假，员工旅游，包吃，股票期权，餐补，五险一金","互联网","经验不限"
"1672259519-7646","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","数据处理工程师","10-15K","上海·徐汇区·漕河泾","眼控科技","PythonJava人工智能物联网","定期体检，节日福利，零食下午茶，带薪年假，员工旅游，包吃，股票期权，餐补，五险一金","B轮","经验不限"
"1672259519-7647","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","数据处理工程师","10-15K","上海·徐汇区·漕河泾","眼控科技","PythonJava人工智能物联网","定期体检，节日福利，零食下午茶，带薪年假，员工旅游，包吃，股票期权，餐补，五险一金","100-499人","经验不限"
"1672259519-7648","https://www.zhipin.com/web/geek/job?query=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&city=101020100&experience=102,101,108&degree=203&scale=303,304,305,306&salary=405","","中/高级分析研究员","15-30K·15薪","上海","某大型制药公司","色谱色谱工作站","","制药","经验不限"
